Age,Gender,District,Education_Level,Qualification,Years_Experience,Languages_Spoken,Care_Category,Care_Service_Type,Preferred_Time,Expected_Salary,Match_Decision
40,Female,Colombo,Diploma,NVQ Level 4,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,60000.0,Rejected
31,Female,Kalutara,Secondary/Diploma,NVQ Level 3,0.0,Sinhala,Elderly care,Cooking + looking after,Full-day,55000.0,Rejected
32,Male,Matara,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Live-in,45000.0,Rejected
20,Female,Kurunegala,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,35000.0,Rejected
46,Female,Kandy,Secondary,"NVQ Level 3,NVQ Level 4",1.0,Sinhala,Elderly care,Looking after,Full-day,40000.0,Accepted
41,Female,Colombo,Short Course,NVQ Level 4,0.0,Sinhala,Child care,Looking after,Full-day,45000.0,Rejected
20,Female,Galle,Secondary,NVQ Level 3,0.0,"Sinhala,English","Elderly care,Domestic support",All-around,Full-day,50000.0,Rejected
30,Female,Ratnapura,Diploma,NVQ Level 3,2.0,"Sinhala,English","Patient care,Palliative care",Looking after,Hourly,1500.0,Accepted
35,Male,Monaragala,Diploma,Diploma in Caregiving,3.0,"Sinhala,English",Patient care,Looking after,Full-day,0.0,Accepted
42,Male,Kegalle,Degree,NVQ Level 3,5.0,"Sinhala,English",Disability care,"Looking after,Supervising",Half-day,0.0,Accepted
41,Female,Colombo,Short Course,Short caregiving course,3.0,"Sinhala,English","Disability care,Patient care",Looking after,Full-day,55000.0,Accepted
35,Male,Kalutara,Degree,NVQ Level 3,4.0,"Sinhala,English,Tamil",Palliative care,Supervising,Hourly,0.0,Accepted
34,Male,Nuwara Eliya,Diploma,Diploma in Caregiving,5.0,"English,Tamil","Elderly care,Patient care,Palliative care",All-around,Hourly,1500.0,Accepted
37,Male,Gampaha,Diploma,Diploma in Caregiving,2.0,"Sinhala,English","Elderly care,Disability care",Looking after,Hourly,1000.0,Accepted
27,Male,Ratnapura,Short Course,Short caregiving course,0.5,"Sinhala,English",Disability care,Supervising,Half-day,35000.0,Accepted
26,Female,Gampaha,Secondary/Diploma,Diploma in Caregiving,0.5,"Sinhala,English",Child care,Looking after,Half-day,35000.0,Accepted
54,Male,Monaragala,Diploma,NVQ Level 3,6.0,Sinhala,"Elderly care,Disability care",All-around,Live-in,45000.0,Accepted
31,Male,Vavuniya,Short Course,Short caregiving course,3.0,"Sinhala,Tamil","Elderly care,Disability care,Domestic support",All-around,Live-in,40000.0,Accepted
46,Male,Gampaha,Diploma/Degree,NVQ Level 3,3.0,"Sinhala,English",Elderly care,Looking after,Half-day,50000.0,Accepted
23,Male,Jaffna,Diploma,Diploma in Caregiving,1.0,"English,Tamil",Domestic support,Unknown,Full-day,25000.0,Accepted
45,Female,Kalutara,Diploma/Degree,"First Aid Certificate,Diploma in Caregiving",3.0,"Sinhala,English","Elderly care,Disability care","Looking after,Supervising",Full-day,60000.0,Accepted
24,Male,Hambantota,Diploma,NVQ Level 4,0.0,"Sinhala,English",Domestic support,Domestic,Hourly,500.0,Rejected
55,Male,Nuwara Eliya,Secondary/Short Course,Short caregiving course,8.0,Sinhala,"Disability care,Domestic support",All-around,Live-in,45000.0,Accepted
48,Female,Vavuniya ,Diploma,"NVQ Level 4,Diploma in Caregiving",5.0,Sinhala,"Palliative care,Domestic support",Supervising,Full-day,50000.0,Accepted
34,Male,Kandy,Degree,"NVQ Level 3,Diploma in Caregiving",2.0,"Sinhala,English",Elderly care,Looking after,Half-day,35000.0,Accepted
39,Male,Kalutara,Secondary/Diploma,NVQ Level 3,3.0,"Sinhala,English",Disability care,Looking after,Live-in,45000.0,Accepted
34,Female,Batticaloa,Diploma,"First Aid Certificate,Diploma in Caregiving",2.0,Sinhala,Child care,Looking after,Half-day,40000.0,Accepted
25,Male,Kegalle,Diploma,"First Aid Certificate,Short caregiving course",0.0,"Sinhala,English","Patient care,Palliative care",Supervising,Hourly,0.0,Rejected
22,Male,Kalutara,Secondary/Diploma/Short Course,"NVQ Level 3,Short caregiving course",0.0,"Sinhala,English",Elderly care,Looking after,Half-day,0.0,Rejected
37,Female,Kalutara,Diploma,NVQ Level 3,2.3,"Sinhala,English",Disability care,Looking after,Half-day,17129.0,Accepted
50,Male,Monaragala,Diploma,NVQ Level 3,4.2,"Sinhala,English",Elderly care,Looking after,Full-day,48546.0,Accepted
20,Female,Colombo,Secondary/Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,31763.0,Rejected
37,Male,Colombo,Short Course,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,43740.0,Accepted
36,Female,Kegalle,Diploma,"First Aid Certificate,Diploma in Caregiving",4.3,"Sinhala,English",Disability care,Supervising,Full-day,59410.0,Accepted
40,Female,Colombo,Short Course,"NVQ Level 4,Diploma in Caregiving",1.5,Sinhala,"Elderly care,Patient care",Looking after,Half-day,43899.0,Accepted
25,Female,Gampaha,Secondary/Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,41888.0,Rejected
44,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",2.5,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,42594.0,Accepted
44,Female,Kalutara,Degree,"NVQ Level 4,Diploma in Caregiving",1.2,"Sinhala,English","Palliative care,Domestic support",Looking after,Full-day,28459.0,Accepted
28,Male,Kegalle,Short Course,Diploma in Caregiving,2.3,"Sinhala,English",Disability care,Looking after,Half-day,70936.0,Accepted
49,Male,Monaragala,Secondary/Short Course,NVQ Level 3,5.5,Sinhala,Elderly care,Looking after,Live-in,5123.0,Accepted
37,Male,Kurunegala,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,223.0,Rejected
24,Female,Colombo,Diploma,NVQ Level 3,0.2,Sinhala,Elderly care,Looking after,Full-day,55091.0,Rejected
40,Female,Gampaha,Secondary/Diploma,NVQ Level 3,1.0,"Sinhala,English",Child care,Looking after,Half-day,43504.0,Accepted
36,Female,Colombo,Short Course,NVQ Level 3,0.0,Sinhala,Elderly care,All-around,Half-day,59636.0,Accepted
28,Female,Puttalam,Diploma,NVQ Level 3,0.7,"Sinhala,English",Domestic support,Unknown,Half-day,56842.0,Accepted
24,Male,Ratnapura,Diploma,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Hourly,18801.0,Accepted
44,Male,Kalutara,Secondary/Diploma,NVQ Level 3,5.0,"Sinhala,English",Patient care,Looking after,Full-day,64162.0,Accepted
30,Male,Colombo,Diploma,Short caregiving course,4.3,"Sinhala,English",Elderly care,Looking after,Half-day,56971.0,Accepted
27,Female,Colombo,Diploma,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,57272.0,Accepted
42,Female,Kalutara,Diploma,"NVQ Level 4,Diploma in Caregiving",1.6,Sinhala,"Palliative care,Domestic support",Looking after,Full-day,95483.0,Accepted
28,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,41000.0,Accepted
55,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",1.3,"Sinhala,English",Elderly care,Looking after,Full-day,94463.0,Accepted
43,Male,Gampaha,Secondary/Diploma,NVQ Level 3,3.1,"Sinhala,English",Elderly care,Looking after,Half-day,1249.0,Accepted
33,Female,Kalutara,Secondary/Diploma,"First Aid Certificate,Diploma in Caregiving",1.9,Sinhala,"Elderly care,Disability care",Looking after,Full-day,75082.0,Accepted
34,Female,Colombo,Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,All-around,Half-day,109366.0,Accepted
50,Male,Monaragala,Diploma,NVQ Level 3,4.1,"Sinhala,English","Elderly care,Disability care",Looking after,Full-day,60252.0,Accepted
46,Male,Kalutara,Diploma,NVQ Level 3,1.5,"Sinhala,English",Disability care,Looking after,Full-day,25540.0,Accepted
42,Male,Matara,Secondary/Diploma,NVQ Level 3,3.0,"Sinhala,English",Elderly care,Looking after,Live-in,19180.0,Accepted
34,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",2.1,"Sinhala,English",Child care,Looking after,Half-day,51449.0,Accepted
47,Male,Kalutara,Diploma,NVQ Level 3,3.9,"Sinhala,English",Elderly care,All-around,Full-day,28975.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.5,Sinhala,Elderly care,All-around,Full-day,50521.0,Rejected
25,Female,Colombo,Diploma,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Full-day,61776.0,Rejected
24,Female,Colombo,Diploma,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Hourly,52621.0,Rejected
33,Male,Colombo,Diploma,NVQ Level 3,3.1,"Sinhala,English",Elderly care,All-around,Full-day,13674.0,Accepted
29,Female,Kegalle,Diploma,Diploma in Caregiving,0.4,"Sinhala,English",Disability care,Looking after,Half-day,12099.0,Accepted
38,Female,Gampaha,Degree,"NVQ Level 3,Diploma in Caregiving",0.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,74017.0,Accepted
30,Male,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",3.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,17398.0,Accepted
34,Male,Colombo,Secondary/Diploma,NVQ Level 3,3.9,"Sinhala,English",Elderly care,Looking after,Live-in,11260.0,Accepted
22,Male,Gampaha,Short Course,NVQ Level 3,2.6,"Sinhala,English",Elderly care,Looking after,Half-day,51101.0,Accepted
28,Male,Colombo,Diploma,NVQ Level 3,1.6,"Sinhala,English",Elderly care,Looking after,Half-day,49262.0,Accepted
27,Male,Matara,Diploma/Degree,"NVQ Level 3,Diploma in Caregiving",3.2,"Sinhala,English",Elderly care,Looking after,Half-day,49594.0,Accepted
31,Female,Colombo,Diploma,Diploma in Caregiving,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,80336.0,Accepted
55,Male,Kegalle,Diploma,NVQ Level 3,4.0,"Sinhala,English","Elderly care,Disability care",Looking after,Full-day,21473.0,Accepted
39,Male,Colombo,Diploma,NVQ Level 3,3.0,"Sinhala,English",Elderly care,Looking after,Full-day,36410.0,Accepted
38,Female,Kalutara,Secondary/Diploma,NVQ Level 3,1.4,"Sinhala,English",Child care,Looking after,Half-day,22448.0,Accepted
37,Male,Colombo,Diploma,Short caregiving course,3.8,"Sinhala,English","Elderly care,Disability care,Patient care",Looking after,Full-day,49815.0,Accepted
35,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,All-around,Full-day,48343.0,Rejected
37,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,62685.0,Rejected
40,Female,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",2.3,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,102866.0,Accepted
23,Female,Hambantota,Diploma,NVQ Level 3,0.7,"Sinhala,English",Elderly care,All-around,Hourly,42448.0,Rejected
32,Male,Matara,Secondary,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Hourly,45387.0,Accepted
30,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Full-day,26495.0,Rejected
30,Male,Colombo,Diploma,NVQ Level 3,2.4,"Sinhala,English",Elderly care,Looking after,Hourly,33936.0,Accepted
33,Female,Colombo,Diploma,NVQ Level 3,1.0,"Sinhala,English",Patient care,Looking after,Full-day,66698.0,Rejected
38,Female,Colombo,Diploma,NVQ Level 3,0.6,Sinhala,"Elderly care,Patient care",Looking after,Half-day,30831.0,Accepted
39,Female,Colombo,Short Course,NVQ Level 3,0.4,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,29359.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,All-around,Full-day,42693.0,Accepted
45,Male,Gampaha,Secondary/Diploma,Short caregiving course,2.3,"Sinhala,English",Elderly care,Looking after,Half-day,10096.0,Accepted
42,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Half-day,82788.0,Rejected
45,Male,Kalutara,Diploma,NVQ Level 3,0.8,"Sinhala,English",Disability care,Looking after,Half-day,33418.0,Accepted
52,Female,Colombo,Degree,NVQ Level 4,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,62169.0,Accepted
48,Male,Colombo,Diploma,NVQ Level 3,2.4,"Sinhala,English",Elderly care,Looking after,Full-day,32592.0,Accepted
35,Male,Nuwara Eliya,Diploma,NVQ Level 3,4.7,"Sinhala,English","Elderly care,Disability care",All-around,Full-day,32098.0,Accepted
52,Male,Kegalle,Diploma,NVQ Level 3,2.9,"Sinhala,English",Disability care,Looking after,Half-day,33507.0,Accepted
26,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Child care,Looking after,Half-day,54284.0,Accepted
33,Female,Gampaha,Short Course/Degree,"NVQ Level 3,First Aid Certificate,Diploma in Caregiving",1.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,41272.0,Accepted
33,Female,Colombo,Short Course,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Half-day,40484.0,Rejected
31,Male,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",2.5,"Sinhala,English",Elderly care,Looking after,Half-day,64282.0,Accepted
41,Male,Kegalle,Diploma,NVQ Level 3,1.7,"Sinhala,English",Disability care,Looking after,Full-day,30708.0,Accepted
37,Male,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",2.7,"Sinhala,English",Elderly care,Looking after,Half-day,44987.0,Accepted
35,Female,Colombo,Degree,NVQ Level 4,0.1,"Sinhala,English",Elderly care,Looking after,Full-day,40178.0,Rejected
32,Male,Colombo,Diploma,NVQ Level 3,2.0,"Sinhala,English",Elderly care,Looking after,Hourly,13839.0,Accepted
39,Male,Gampaha,Diploma,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Half-day,85886.0,Accepted
31,Female,Kalutara,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Child care,Looking after,Half-day,51503.0,Rejected
32,Female,Colombo,Degree,NVQ Level 3,3.0,"Sinhala,English",Patient care,All-around,Full-day,35869.0,Accepted
22,Female,Colombo,Short Course,NVQ Level 3,1.0,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,83537.0,Accepted
30,Male,Ratnapura,Degree,NVQ Level 3,4.5,"Sinhala,English",Patient care,Supervising,Full-day,0.0,Accepted
23,Male,Puttalam,Diploma,NVQ Level 3,0.0,"Sinhala,English",Domestic support,Unknown,Hourly,33303.0,Rejected
45,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Half-day,58621.0,Accepted
38,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",1.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,20133.0,Accepted
38,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,34398.0,Rejected
21,Female,Colombo,Short Course,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Half-day,79580.0,Accepted
32,Female,Kalutara,Diploma,"First Aid Certificate,Diploma in Caregiving",0.7,"Sinhala,English",Child care,Looking after,Half-day,56265.0,Accepted
55,Male,Matara,Degree,NVQ Level 3,3.1,"Sinhala,English",Elderly care,All-around,Live-in,50683.0,Accepted
41,Male,Colombo,Short Course,Short caregiving course,1.6,"Sinhala,English",Elderly care,Looking after,Half-day,43652.0,Accepted
31,Female,Kalutara,Degree,NVQ Level 3,1.3,"Sinhala,English",Elderly care,Looking after,Full-day,66622.0,Accepted
22,Female,Colombo,Diploma,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Full-day,4713.0,Rejected
26,Female,Gampaha,Secondary/Diploma,Diploma in Caregiving,1.6,"Sinhala,English",Child care,Looking after,Half-day,49275.0,Accepted
40,Male,Kalutara,Diploma,NVQ Level 3,1.5,"Sinhala,English",Disability care,"Looking after,Supervising",Full-day,0.0,Accepted
45,Female,Colombo,Degree,NVQ Level 3,0.6,Sinhala,Patient care,All-around,Full-day,45938.0,Accepted
33,Male,Colombo,Diploma,NVQ Level 3,4.5,"Sinhala,English",Elderly care,Looking after,Hourly,7973.0,Accepted
42,Male,Colombo,Secondary/Diploma,NVQ Level 3,5.5,Sinhala,Elderly care,All-around,Full-day,40702.0,Accepted
38,Female,Colombo,Diploma,NVQ Level 3,2.1,"Sinhala,English",Patient care,Looking after,Full-day,43907.0,Accepted
35,Male,Colombo,Diploma,Short caregiving course,3.9,"Sinhala,English","Elderly care,Disability care,Patient care",Looking after,Full-day,79495.0,Accepted
43,Male,Kandy,Secondary,"NVQ Level 3,Diploma in Caregiving",3.4,"Sinhala,English",Elderly care,Looking after,Half-day,56988.0,Accepted
31,Male,Jaffna,Diploma,Diploma in Caregiving,2.5,"Sinhala,English",Disability care,Looking after,Hourly,9943.0,Accepted
41,Female,Kalutara,Diploma,"First Aid Certificate,Diploma in Caregiving",3.7,"Sinhala,English","Elderly care,Disability care",Looking after,Full-day,27686.0,Accepted
47,Female,Kalutara,Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Supervising,Full-day,27967.0,Accepted
27,Male,Kegalle,Diploma,NVQ Level 3,3.7,"Sinhala,English",Elderly care,All-around,Full-day,39738.0,Accepted
31,Female,Puttalam,Diploma,NVQ Level 3,1.0,"Sinhala,English",Domestic support,Unknown,Half-day,10757.0,Accepted
32,Female,Colombo,Diploma,NVQ Level 3,1.0,"Sinhala,English",Elderly care,Looking after,Half-day,0.0,Accepted
35,Male,Kegalle,Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,0.0,Accepted
28,Female,Colombo,Degree,Diploma in Caregiving,0.0,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,47712.0,Accepted
26,Female,Kalutara,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Child care,Looking after,Half-day,34101.0,Rejected
33,Male,Kegalle,Diploma,NVQ Level 3,3.1,"Sinhala,English",Elderly care,All-around,Full-day,27896.0,Accepted
24,Male,Gampaha,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,59924.0,Accepted
43,Female,Kalutara,Secondary/Diploma,NVQ Level 3,1.2,"Sinhala,English",Child care,Looking after,Half-day,75730.0,Accepted
36,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Half-day,41600.0,Accepted
38,Female,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",0.0,"Sinhala,English",Elderly care,Looking after,Half-day,57730.0,Accepted
47,Female,Gampaha,Degree,"NVQ Level 4,Diploma in Caregiving",0.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,67966.0,Accepted
39,Female,Colombo,Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,42121.0,Rejected
25,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,10862.0,Accepted
38,Female,Colombo,Diploma,NVQ Level 3,0.0,Sinhala,Elderly care,All-around,Full-day,36390.0,Rejected
38,Male,Colombo,Diploma,NVQ Level 3,3.9,"Sinhala,English",Elderly care,Looking after,Hourly,43025.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,45477.0,Accepted
44,Male,Matara,Secondary/Diploma,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Live-in,30147.0,Accepted
38,Female,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English",Elderly care,Looking after,Full-day,80895.0,Accepted
43,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,16080.0,Rejected
25,Female,Galle,Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,All-around,Full-day,67023.0,Accepted
29,Female,Gampaha,Secondary/Short Course,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,35428.0,Accepted
24,Female,Jaffna,Diploma,Diploma in Caregiving,0.6,"English,Tamil",Domestic support,Unknown,Full-day,27090.0,Accepted
44,Male,Gampaha,Diploma,NVQ Level 3,4.5,"Sinhala,English",Elderly care,Looking after,Half-day,5557.0,Accepted
49,Female,Colombo,Degree,NVQ Level 3,4.7,"Sinhala,English",Patient care,All-around,Full-day,63975.0,Accepted
35,Female,Kalutara,Diploma,NVQ Level 3,1.2,"Sinhala,English",Elderly care,Looking after,Full-day,9862.0,Accepted
45,Female,Kandy,Degree,"NVQ Level 3,Diploma in Caregiving",3.8,"Sinhala,English",Elderly care,Looking after,Half-day,33480.0,Accepted
27,Male,Kurunegala,Diploma,NVQ Level 3,2.3,"Sinhala,English",Elderly care,Looking after,Hourly,25429.0,Accepted
28,Female,Gampaha,Diploma,NVQ Level 3,0.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,59580.0,Accepted
31,Female,Colombo,Degree,NVQ Level 3,0.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,39679.0,Accepted
46,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Full-day,61699.0,Rejected
23,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,66473.0,Accepted
24,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,10792.0,Rejected
