Age,Gender,District,Education_Level,Qualification,Years_Experience,Languages_Spoken,Care_Category,Care_Service_Type,Preferred_Time,Expected_Salary,Match_Decision
40,Female,Colombo,Diploma,NVQ Level 4,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,60000.0,Rejected
31,Female,Kalutara,Secondary/Diploma,NVQ Level 3,0.0,Sinhala,Elderly care,Cooking + looking after,Full-day,55000.0,Rejected
32,Male,Matara,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Live-in,45000.0,Rejected
20,Female,Kurunegala,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,35000.0,Rejected
46,Female,Kandy,Secondary,"NVQ Level 3,NVQ Level 4",1.0,Sinhala,Elderly care,Looking after,Full-day,40000.0,Accepted
41,Female,Colombo,Short Course,NVQ Level 4,0.0,Sinhala,Child care,Looking after,Full-day,45000.0,Rejected
20,Female,Galle,Secondary,NVQ Level 3,0.0,"Sinhala,English","Elderly care,Domestic support",All-around,Full-day,50000.0,Rejected
30,Female,Ratnapura,Diploma,NVQ Level 3,2.0,"Sinhala,English","Patient care,Palliative care",Looking after,Hourly,1500.0,Accepted
35,Male,Monaragala,Diploma,Diploma in Caregiving,3.0,"Sinhala,English",Patient care,Looking after,Full-day,0.0,Accepted
42,Male,Kegalle,Degree,NVQ Level 3,5.0,"Sinhala,English",Disability care,"Looking after,Supervising",Half-day,0.0,Accepted
41,Female,Colombo,Short Course,Short caregiving course,3.0,"Sinhala,English","Disability care,Patient care",Looking after,Full-day,55000.0,Accepted
35,Male,Kalutara,Degree,NVQ Level 3,4.0,"Sinhala,English,Tamil",Palliative care,Supervising,Hourly,0.0,Accepted
34,Male,Nuwara Eliya,Diploma,Diploma in Caregiving,5.0,"English,Tamil","Elderly care,Patient care,Palliative care",All-around,Hourly,1500.0,Accepted
37,Male,Gampaha,Diploma,Diploma in Caregiving,2.0,"Sinhala,English","Elderly care,Disability care",Looking after,Hourly,1000.0,Accepted
27,Male,Ratnapura,Short Course,Short caregiving course,0.5,"Sinhala,English",Disability care,Supervising,Half-day,35000.0,Accepted
26,Female,Gampaha,Secondary/Diploma,Diploma in Caregiving,0.5,"Sinhala,English",Child care,Looking after,Half-day,35000.0,Accepted
54,Male,Monaragala,Diploma,NVQ Level 3,6.0,Sinhala,"Elderly care,Disability care",All-around,Live-in,45000.0,Accepted
31,Male,Vavuniya,Short Course,Short caregiving course,3.0,"Sinhala,Tamil","Elderly care,Disability care,Domestic support",All-around,Live-in,40000.0,Accepted
46,Male,Gampaha,Diploma/Degree,NVQ Level 3,3.0,"Sinhala,English",Elderly care,Looking after,Half-day,50000.0,Accepted
23,Male,Jaffna,Diploma,Diploma in Caregiving,1.0,"English,Tamil",Domestic support,Unknown,Full-day,25000.0,Accepted
45,Female,Kalutara,Diploma/Degree,"First Aid Certificate,Diploma in Caregiving",3.0,"Sinhala,English","Elderly care,Disability care","Looking after,Supervising",Full-day,60000.0,Accepted
24,Male,Hambantota,Diploma,NVQ Level 4,0.0,"Sinhala,English",Domestic support,Domestic,Hourly,500.0,Rejected
55,Male,Nuwara Eliya,Secondary/Short Course,Short caregiving course,8.0,Sinhala,"Disability care,Domestic support",All-around,Live-in,45000.0,Accepted
48,Female,Vavuniya ,Diploma,"NVQ Level 4,Diploma in Caregiving",5.0,Sinhala,"Palliative care,Domestic support",Supervising,Full-day,50000.0,Accepted
34,Male,Kandy,Degree,"NVQ Level 3,Diploma in Caregiving",2.0,"Sinhala,English",Elderly care,Looking after,Half-day,35000.0,Accepted
39,Male,Kalutara,Secondary/Diploma,NVQ Level 3,3.0,"Sinhala,English",Disability care,Looking after,Live-in,45000.0,Accepted
34,Female,Batticaloa,Diploma,"First Aid Certificate,Diploma in Caregiving",2.0,Sinhala,Child care,Looking after,Half-day,40000.0,Accepted
25,Male,Kegalle,Diploma,"First Aid Certificate,Short caregiving course",0.0,"Sinhala,English","Patient care,Palliative care",Supervising,Hourly,0.0,Rejected
22,Male,Kalutara,Secondary/Diploma/Short Course,"NVQ Level 3,Short caregiving course",0.0,"Sinhala,English",Elderly care,Looking after,Half-day,0.0,Rejected
41,Male,Colombo,Diploma,NVQ Level 3,4.9,"Sinhala,English",Elderly care,Looking after,Half-day,27210.0,Accepted
43,Female,Colombo,Short Course,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Half-day,57324.0,Accepted
38,Female,Colombo,Diploma,"NVQ Level 4,Diploma in Caregiving",1.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,50377.0,Accepted
39,Female,Colombo,Short Course,NVQ Level 3,0.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,26594.0,Accepted
27,Male,Colombo,Diploma,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Full-day,49554.0,Accepted
27,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Half-day,33602.0,Rejected
30,Female,Colombo,Degree,NVQ Level 3,3.2,"Sinhala,English",Patient care,Supervising,Full-day,43257.0,Accepted
42,Female,Colombo,Short Course,Diploma in Caregiving,0.3,"Sinhala,English",Disability care,Looking after,Half-day,13097.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Child care,Looking after,Full-day,8091.0,Rejected
39,Male,Colombo,Short Course,NVQ Level 3,1.8,"Sinhala,English",Elderly care,All-around,Half-day,89654.0,Accepted
31,Male,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",3.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,711.0,Accepted
38,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,2750.0,Accepted
36,Female,Colombo,Short Course,"NVQ Level 4,Diploma in Caregiving",0.9,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,68874.0,Accepted
47,Male,Vavuniya,Diploma,Short caregiving course,4.9,"Sinhala,English","Elderly care,Disability care",Looking after,Full-day,65111.0,Accepted
30,Female,Kalutara,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,27713.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Hourly,56556.0,Rejected
35,Female,Kalutara,Degree,NVQ Level 3,1.4,"Sinhala,English",Elderly care,Looking after,Half-day,41684.0,Accepted
39,Female,Colombo,Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Half-day,50831.0,Accepted
32,Male,Gampaha,Degree,NVQ Level 3,5.2,"Sinhala,English",Elderly care,Looking after,Hourly,43063.0,Accepted
31,Female,Gampaha,Short Course,"NVQ Level 3,First Aid Certificate,Diploma in Caregiving",1.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,57808.0,Accepted
44,Female,Colombo,Diploma,NVQ Level 3,0.8,Sinhala,Elderly care,All-around,Full-day,77418.0,Rejected
38,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,All-around,Full-day,37194.0,Rejected
49,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Half-day,60440.0,Accepted
45,Female,Colombo,Short Course,Short caregiving course,3.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,753.0,Accepted
20,Female,Gampaha,Diploma,NVQ Level 3,0.7,"Sinhala,English",Child care,Looking after,Half-day,42997.0,Accepted
50,Male,Jaffna,Diploma,Diploma in Caregiving,1.8,"English,Tamil",Disability care,Looking after,Full-day,55877.0,Accepted
32,Female,Kegalle,Diploma,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Half-day,77366.0,Accepted
50,Male,Colombo,Secondary/Diploma,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Live-in,57500.0,Accepted
44,Male,Gampaha,Diploma,NVQ Level 3,3.5,"Sinhala,English",Elderly care,Looking after,Full-day,17506.0,Accepted
43,Male,Matara,Diploma,NVQ Level 3,3.7,"Sinhala,English",Elderly care,Looking after,Live-in,31029.0,Accepted
50,Female,Colombo,Degree,NVQ Level 3,4.2,"Sinhala,English",Elderly care,Looking after,Half-day,69020.0,Accepted
42,Female,Colombo,Diploma,NVQ Level 3,1.5,"Sinhala,English",Child care,Looking after,Half-day,50546.0,Accepted
24,Female,Gampaha,Degree,Diploma in Caregiving,0.9,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,51125.0,Accepted
34,Female,Colombo,Diploma,NVQ Level 3,1.4,"Sinhala,English",Elderly care,All-around,Full-day,64668.0,Accepted
29,Female,Colombo,Diploma,NVQ Level 4,0.7,"Sinhala,English",Elderly care,Looking after,Full-day,12435.0,Rejected
58,Male,Colombo,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",1.1,"Sinhala,English",Elderly care,Looking after,Half-day,71031.0,Accepted
41,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,All-around,Full-day,79013.0,Rejected
40,Female,Colombo,Diploma,"First Aid Certificate,Diploma in Caregiving",4.0,"Sinhala,English",Disability care,Looking after,Half-day,25448.0,Accepted
27,Male,Kegalle,Diploma,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Full-day,0.0,Accepted
28,Male,Gampaha,Diploma,Diploma in Caregiving,3.9,"Sinhala,English",Disability care,Looking after,Half-day,43418.0,Accepted
39,Male,Colombo,Diploma,NVQ Level 3,2.3,"Sinhala,English",Elderly care,All-around,Full-day,80023.0,Accepted
20,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Full-day,47424.0,Rejected
30,Female,Gampaha,Diploma,Diploma in Caregiving,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,69896.0,Accepted
32,Female,Gampaha,Short Course,Diploma in Caregiving,0.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,43332.0,Accepted
45,Female,Colombo,Diploma,NVQ Level 3,1.0,Sinhala,Elderly care,All-around,Full-day,59686.0,Accepted
44,Male,Jaffna,Diploma,NVQ Level 3,3.1,"Sinhala,English",Patient care,All-around,Hourly,0.0,Accepted
34,Female,Colombo,Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,50605.0,Rejected
25,Female,Kalutara,Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,32190.0,Rejected
30,Male,Gampaha,Short Course,Diploma in Caregiving,0.6,"Sinhala,English",Disability care,Looking after,Half-day,43883.0,Accepted
33,Female,Colombo,Secondary,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Half-day,74273.0,Rejected
30,Male,Kalutara,Diploma,NVQ Level 3,1.4,"Sinhala,English",Elderly care,Looking after,Half-day,23477.0,Accepted
42,Female,Kegalle,Diploma,NVQ Level 3,1.3,"Sinhala,English",Disability care,Looking after,Half-day,38501.0,Accepted
27,Male,Colombo,Secondary,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Half-day,17535.0,Rejected
53,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",3.7,"Sinhala,English","Elderly care,Child care",Looking after,Half-day,80961.0,Accepted
44,Male,Colombo,Short Course,NVQ Level 3,3.9,"Sinhala,English",Elderly care,Looking after,Half-day,87263.0,Accepted
48,Male,Colombo,Diploma,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Full-day,7712.0,Accepted
38,Female,Colombo,Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Full-day,19333.0,Rejected
28,Male,Kegalle,Diploma,NVQ Level 3,5.0,"Sinhala,English,Tamil",Patient care,Supervising,Hourly,7545.0,Accepted
39,Female,Colombo,Secondary,NVQ Level 4,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,0.0,Rejected
54,Female,Ratnapura,Degree,"NVQ Level 4,Diploma in Caregiving",1.3,"Sinhala,English",Child care,Looking after,Half-day,70385.0,Accepted
32,Male,Kegalle,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Half-day,0.0,Accepted
39,Male,Colombo,Secondary,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,59945.0,Accepted
28,Male,Kegalle,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,24636.0,Accepted
26,Male,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Hourly,27273.0,Rejected
53,Female,Colombo,Secondary,NVQ Level 3,0.6,"Sinhala,English",Child care,Looking after,Half-day,29064.0,Accepted
27,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,56009.0,Accepted
29,Female,Puttalam,Short Course,NVQ Level 3,1.0,"Sinhala,English",Elderly care,Unknown,Half-day,39264.0,Accepted
37,Female,Colombo,Short Course,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Half-day,32450.0,Rejected
32,Male,Colombo,Diploma,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Half-day,39634.0,Accepted
48,Male,Colombo,Diploma,NVQ Level 3,1.8,"Sinhala,English",Elderly care,Looking after,Live-in,27237.0,Accepted
33,Female,Colombo,Short Course,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Half-day,37513.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,All-around,Half-day,42204.0,Accepted
39,Male,Colombo,Degree,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Full-day,16104.0,Accepted
47,Female,Ratnapura,Degree,"First Aid Certificate,Diploma in Caregiving",2.0,"Sinhala,English",Patient care,Looking after,Full-day,102335.0,Accepted
51,Male,Kalutara,Secondary/Diploma,NVQ Level 3,1.0,"Sinhala,English",Elderly care,Looking after,Half-day,35005.0,Accepted
42,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.9,"Sinhala,English",Child care,Looking after,Half-day,31140.0,Accepted
26,Male,Matara,Diploma,NVQ Level 3,2.2,"Sinhala,English",Elderly care,Looking after,Hourly,36954.0,Accepted
41,Male,Gampaha,Short Course,Diploma in Caregiving,3.9,"Sinhala,English",Disability care,Looking after,Half-day,0.0,Accepted
27,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,34703.0,Rejected
52,Male,Colombo,Degree,Short caregiving course,4.3,"Sinhala,English",Elderly care,Looking after,Half-day,45029.0,Accepted
40,Male,Colombo,Diploma,NVQ Level 3,5.6,"Sinhala,English",Patient care,Looking after,Full-day,11740.0,Accepted
54,Male,Colombo,Secondary/Short Course,Short caregiving course,3.8,"Sinhala,English",Disability care,Looking after,Live-in,35231.0,Accepted
22,Female,Puttalam,Diploma,NVQ Level 3,0.8,"Sinhala,English",Domestic support,Looking after,Half-day,51308.0,Rejected
26,Female,Colombo,Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,59231.0,Accepted
48,Male,Colombo,Short Course,Short caregiving course,1.7,"Sinhala,English","Disability care,Patient care",Looking after,Half-day,76883.0,Accepted
28,Female,Colombo,Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,21557.0,Accepted
30,Male,Colombo,Short Course,Short caregiving course,3.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,75772.0,Accepted
29,Female,Colombo,Short Course,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Half-day,13655.0,Accepted
24,Female,Gampaha,Short Course,NVQ Level 3,2.1,"Sinhala,English",Elderly care,Looking after,Half-day,40063.0,Accepted
28,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,29986.0,Accepted
48,Male,Kalutara,Secondary/Diploma,NVQ Level 3,3.7,Sinhala,"Elderly care,Disability care",Looking after,Full-day,28664.0,Accepted
32,Male,Gampaha,Diploma,NVQ Level 3,5.1,"Sinhala,English",Elderly care,Looking after,Full-day,12246.0,Accepted
46,Male,Kegalle,Diploma,NVQ Level 3,5.2,"Sinhala,English",Patient care,Supervising,Full-day,28578.0,Accepted
38,Female,Colombo,Degree,"NVQ Level 4,Diploma in Caregiving",0.8,"Sinhala,English",Child care,Looking after,Half-day,30598.0,Accepted
45,Male,Colombo,Secondary/Short Course,NVQ Level 3,4.5,"Sinhala,English",Elderly care,Looking after,Live-in,63608.0,Accepted
56,Male,Galle,Diploma,NVQ Level 3,3.6,"Sinhala,English",Elderly care,All-around,Full-day,26322.0,Accepted
28,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.0,Sinhala,Elderly care,Looking after,Half-day,17750.0,Rejected
44,Male,Jaffna,Diploma,NVQ Level 3,3.3,"Sinhala,English",Disability care,"Looking after,Supervising",Half-day,0.0,Accepted
50,Male,Kalutara,Secondary/Diploma,NVQ Level 3,1.9,Sinhala,Elderly care,Looking after,Full-day,39599.0,Accepted
40,Female,Gampaha,Degree,Diploma in Caregiving,0.9,"Sinhala,English","Elderly care,Patient care",Unknown,Half-day,48489.0,Accepted
53,Male,Gampaha,Diploma,Short caregiving course,4.8,"Sinhala,English",Elderly care,Looking after,Full-day,34571.0,Accepted
47,Male,Colombo,Secondary/Diploma,NVQ Level 3,1.4,"Sinhala,English",Disability care,Looking after,Half-day,0.0,Accepted
58,Male,Kegalle,Diploma,NVQ Level 3,1.0,"Sinhala,English",Disability care,Looking after,Full-day,0.0,Accepted
41,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,54009.0,Accepted
48,Male,Kalutara,Secondary/Diploma,NVQ Level 3,1.1,Sinhala,Elderly care,Looking after,Full-day,55328.0,Accepted
51,Female,Kalutara,Secondary/Diploma,"First Aid Certificate,Diploma in Caregiving",1.1,"Sinhala,English",Disability care,Looking after,Half-day,46886.0,Accepted
29,Male,Kegalle,Short Course,NVQ Level 3,0.5,"Sinhala,English",Disability care,Looking after,Half-day,44602.0,Accepted
41,Female,Colombo,Degree,NVQ Level 3,1.0,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,69722.0,Accepted
33,Male,Matara,Diploma/Short Course,NVQ Level 3,4.3,"Sinhala,English",Elderly care,Looking after,Hourly,8304.0,Accepted
37,Female,Colombo,Degree,NVQ Level 4,0.0,Sinhala,Elderly care,Looking after,Half-day,33109.0,Rejected
56,Male,Galle,Diploma,NVQ Level 3,3.1,"Sinhala,English",Elderly care,All-around,Full-day,56960.0,Accepted
57,Male,Colombo,Secondary/Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Full-day,35140.0,Rejected
26,Female,Colombo,Secondary,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,982.0,Rejected
28,Male,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Hourly,17955.0,Rejected
44,Male,Jaffna,Diploma,NVQ Level 3,4.8,"Sinhala,English",Disability care,All-around,Full-day,39386.0,Accepted
28,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,All-around,Full-day,57509.0,Rejected
47,Male,Kegalle,Diploma,NVQ Level 3,3.9,"Sinhala,English",Disability care,Looking after,Half-day,27787.0,Accepted
48,Female,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English",Elderly care,Looking after,Half-day,65588.0,Rejected
39,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,44728.0,Accepted
33,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,59381.0,Rejected
30,Male,Gampaha,Diploma,NVQ Level 3,3.9,"Sinhala,English",Elderly care,Looking after,Full-day,28229.0,Accepted
27,Male,Kalutara,Diploma,NVQ Level 3,0.3,"Sinhala,English",Patient care,Looking after,Hourly,24366.0,Rejected
42,Male,Colombo,Diploma,NVQ Level 3,3.7,"Sinhala,English",Elderly care,Looking after,Full-day,20456.0,Accepted
47,Female,Kalutara,Secondary/Diploma,NVQ Level 3,1.6,"Sinhala,English",Elderly care,Looking after,Half-day,25699.0,Accepted
55,Male,Matara,Secondary/Short Course,Short caregiving course,4.5,"Sinhala,English",Elderly care,Looking after,Live-in,57885.0,Accepted
58,Female,Colombo,Diploma,"NVQ Level 4,Diploma in Caregiving",3.7,"Sinhala,English",Elderly care,Looking after,Half-day,47224.0,Accepted
28,Male,Kegalle,Diploma,Diploma in Caregiving,0.7,"Sinhala,English",Disability care,Looking after,Half-day,25801.0,Accepted
36,Male,Galle,Short Course,Short caregiving course,2.6,"Sinhala,English",Disability care,All-around,Full-day,51161.0,Accepted
24,Female,Kalutara,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,All-around,Full-day,17878.0,Rejected
51,Female,Galle,Short Course,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Unknown,Unknown,69735.0,Accepted
36,Male,Colombo,Secondary/Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,50194.0,Accepted
41,Female,Colombo,Short Course,NVQ Level 3,2.1,"Sinhala,English",Elderly care,Looking after,Half-day,20324.0,Accepted
55,Female,Colombo,Diploma,NVQ Level 3,2.9,"Sinhala,English",Patient care,Looking after,Full-day,82153.0,Accepted
48,Male,Colombo,Secondary/Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Half-day,63260.0,Accepted
56,Male,Monaragala,Secondary/Short Course,Short caregiving course,4.5,"Sinhala,English",Elderly care,Looking after,Live-in,35615.0,Accepted
