Age,Gender,District,Educational_Level,Qualifications,Years_Experience,Languages_Spoken,Care_Category,Care_Service_Type,Preferred_Time,Expected_Salary,Match_Desicion
40,Female,Galle,Diploma,Diploma in Caregiving,4.0,"Sinhala,English","Elderly care,Child care,Domestic support",Cooking + looking after,Half-day,75000.0,Accepted
37,Male,Kurunegala,Diploma/Short Course,"NVQ Level 3,Diploma in Caregiving",2.5,"Sinhala,English",Elderly care,Looking after,Hourly,1500.0,Accepted
29,Female,Gampaha,Short Course/Degree,"NVQ Level 3,First Aid Certificate,Diploma in Caregiving",1.6,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,45000.0,Accepted
45,Male,Vavuniya,Secondary/Diploma,NVQ Level 2,5.5,"Sinhala,Tamil","Elderly care,Disability care",Looking after,Full-day,95000.0,Accepted
54,Male,Matara,Secondary/Short Course,Short caregiving course,4.5,"Sinhala,English",Elderly care,Looking after,Live-in,55000.0,Accepted
39,Female,Kandy,Degree,"NVQ Level 3,First Aid Certificate",3.8,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,75000.0,Accepted
58,Male,Matara,Secondary/Short Course,Short caregiving course,4.0,"Sinhala,English",Elderly care,Looking after,Live-in,65000.0,Accepted
43,Male,Kurunegala,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",2.0,"Sinhala,English",Child care,Looking after,Half-day,65000.0,Accepted
39,Female,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",1.0,"Sinhala,English","Elderly care,Child care",Looking after,Half-day,70000.0,Accepted
43,Male,Galle,Diploma/Short Course,"First Aid Certificate,Diploma in Caregiving,Short caregiving course",3.0,"Sinhala,English",Disability care,Cooking + looking after,Full-day,0.0,Accepted
47,Female,Kalutara,Diploma/Short Course,"NVQ Level 3,First Aid Certificate,Diploma in Caregiving,Short caregiving course",2.0,Sinhala- සිංහල,Elderly care,Looking after,Half-day,45000.0,Accepted
51,Male,Colombo,Diploma/Degree,"First Aid Certificate,Diploma in Caregiving",2.0,"Sinhala,English",Disability care,"Looking after, Supervising",Live-in,75000.0,Accepted
25,Female,Kalutara,Diploma,Diploma in Caregiving,0.0,"Sinhala,English",Child care,Looking after,Half-day,55000.0,Rejected
58,Female,Ratnapura,Degree,"NVQ Level 3,First Aid Certificate",8.0,"Sinhala,English",Patient care,Looking after,Full-day,135000.0,Accepted
27,Female,Kegalle,Diploma/Short Course/Degree,"NVQ Level 3,Diploma in Caregiving,Short caregiving course",1.0,"Sinhala,English",Disability care,Looking after,Half-day,0.0,Accepted
29,Female,Colombo,Secondary/Short Course,NVQ Level 3,0.0,Sinhala,Elderly care,Looking after,Half-day,45000.0,Rejected
40,Female,Colombo,Diploma,NVQ Level 4,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,60000.0,Rejected
31,Female,Kalutara,Secondary/Diploma,NVQ Level 3,0.0,Sinhala,Elderly care,Cooking + looking after,Full-day,55000.0,Rejected
32,Male,Matara,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Live-in,45000.0,Rejected
20,Female,Kurunegala,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,35000.0,Rejected
46,Female,Kandy,Secondary,"NVQ Level 3,NVQ Level 4",1.0,Sinhala,Elderly care,Looking after,Full-day,40000.0,Accepted
41,Female,Colombo,Short Course,NVQ Level 4,0.0,Sinhala,Child care,Looking after,Full-day,45000.0,Rejected
20,Female,Galle,Secondary,NVQ Level 3,0.0,"Sinhala,English","Elderly care – වැඩිහිටියන් රැකවරණය, Domestic support – ගෘහ කාර්ය සහාය",All-around,Full-day,50000.0,Rejected
30,Female,Ratnapura,Diploma,NVQ Level 3,2.0,"Sinhala,English","Patient care,Palliative care",Looking after,Hourly,1500.0,Accepted
41,Female,Colombo,Short Course,Short caregiving course,3.0,"Sinhala,English","Disability care,Patient care",Looking after,Full-day,55000.0,Accepted
24,Female,Colombo,Diploma,NVQ Level 3,0.3,Sinhala,Elderly care,Looking after,Full-day,62809.0,Rejected
46,Male,Colombo,Secondary/Short Course,Short caregiving course,2.9,"Sinhala,English",Elderly care,Looking after,Full-day,71569.0,Accepted
36,Male,Colombo,Degree,Short caregiving course,2.9,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,45854.0,Accepted
28,Female,Colombo,Diploma,NVQ Level 4,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,45690.0,Accepted
25,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Full-day,15786.0,Rejected
38,Female,Colombo,Degree,NVQ Level 4,0.0,Sinhala,Elderly care,Looking after,Full-day,5510.0,Rejected
25,Male,Matara,Diploma,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Full-day,63072.0,Rejected
32,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,All-around,Full-day,58426.0,Accepted
33,Female,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",0.5,"Sinhala,English","Elderly care,Domestic support",Looking after,Half-day,87585.0,Accepted
46,Female,Colombo,Degree,NVQ Level 3,0.0,Sinhala,Child care,All-around,Full-day,36478.0,Accepted
40,Female,Colombo,Degree,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Full-day,11627.0,Accepted
35,Female,Colombo,Degree,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,33675.0,Accepted
27,Female,Colombo,Short Course,NVQ Level 3,0.8,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,39652.0,Accepted
25,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,75940.0,Accepted
30,Female,Kalutara,Degree,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,52211.0,Accepted
44,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",4.0,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,65168.0,Accepted
37,Female,Colombo,Degree,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,50011.0,Accepted
40,Male,Colombo,Degree,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Full-day,47798.0,Accepted
44,Male,Matara,Secondary,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Hourly,7622.0,Rejected
39,Female,Colombo,Diploma/Short Course,NVQ Level 3,0.9,Sinhala,Child care,All-around,Full-day,68436.0,Accepted
30,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,14218.0,Rejected
46,Male,Colombo,Degree,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Live-in,41220.0,Accepted
50,Male,Colombo,Degree,NVQ Level 3,0.4,"Sinhala,English",Elderly care,All-around,Full-day,50024.0,Accepted
28,Female,Colombo,Secondary,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,17239.0,Rejected
21,Female,Colombo,Short Course,NVQ Level 4,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,59555.0,Accepted
40,Female,Kalutara,Diploma/Short Course,"NVQ Level 3,Diploma in Caregiving",0.9,"Sinhala,English",Elderly care,Looking after,Half-day,54000.0,Accepted
52,Male,Matara,Secondary/Short Course,Short caregiving course,5.2,"Sinhala,English",Elderly care,Looking after,Live-in,12719.0,Accepted
48,Male,Matara,Secondary/Short Course,Short caregiving course,4.0,"Sinhala,English",Elderly care,Looking after,Live-in,21980.0,Accepted
26,Female,Colombo,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,75041.0,Rejected
25,Female,Galle,Diploma,NVQ Level 3,0.8,"Sinhala,English","Elderly care,Patient care",All-around,Half-day,43158.0,Accepted
45,Male,Colombo,Degree,Short caregiving course,1.2,"Sinhala,English",Elderly care,Looking after,Full-day,65004.0,Accepted
45,Male,Colombo,Secondary/Short Course,Short caregiving course,3.3,"Sinhala,English",Elderly care,Looking after,Full-day,62015.0,Accepted
27,Female,Colombo,Degree,NVQ Level 3,3.4,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,76104.0,Accepted
28,Female,Ratnapura,Degree,"NVQ Level 3,Diploma in Caregiving",4.8,"Sinhala,English",Patient care,Looking after,Full-day,46212.0,Accepted
26,Female,Colombo,Short Course,NVQ Level 3,0.6,"Sinhala,English","Elderly care,Patient care",Cooking + looking after,Half-day,20639.0,Accepted
29,Female,Kalutara,Diploma,Diploma in Caregiving,0.5,"Sinhala,English",Child care,Looking after,Half-day,67263.0,Rejected
33,Female,Colombo,Degree,NVQ Level 3,0.7,Sinhala,Elderly care,Looking after,Full-day,55829.0,Rejected
27,Male,Colombo,Diploma,NVQ Level 3,2.0,"Sinhala,English",Elderly care,Looking after,Full-day,79335.0,Accepted
23,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,42719.0,Rejected
39,Female,Colombo,Short Course,NVQ Level 3,2.5,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,9326.0,Accepted
42,Male,Kandy,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",1.1,"Sinhala,English","Elderly care,Child care",Looking after,Half-day,93130.0,Accepted
23,Female,Colombo,Degree,NVQ Level 3,0.3,"Sinhala,English",Elderly care,All-around,Full-day,19645.0,Accepted
45,Male,Colombo,Diploma/Short Course,NVQ Level 3,0.6,"Sinhala,English",Elderly care,All-around,Full-day,16201.0,Accepted
35,Female,Colombo,Short Course,NVQ Level 3,0.0,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,33927.0,Accepted
25,Male,Kurunegala,Secondary,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,56139.0,Rejected
42,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.2,"Sinhala,English",Child care,Looking after,Half-day,85114.0,Accepted
36,Male,Kurunegala,Degree,"NVQ Level 3,Diploma in Caregiving",1.5,"Sinhala,English",Child care,Looking after,Half-day,65854.0,Accepted
30,Female,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",1.3,"Sinhala,English","Elderly care,Domestic support",All-around,Half-day,55775.0,Accepted
32,Female,Colombo,Short Course,NVQ Level 4,1.9,"Sinhala,English","Disability care,Patient care",Looking after,Full-day,68151.0,Accepted
28,Female,Ratnapura,Diploma,NVQ Level 3,0.4,"Sinhala,English",Child care,Looking after,Half-day,83121.0,Accepted
27,Female,Colombo,Short Course,NVQ Level 3,1.3,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,14813.0,Accepted
27,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,46821.0,Rejected
45,Male,Colombo,Secondary/Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Live-in,65239.0,Accepted
28,Male,Ratnapura,Degree,NVQ Level 3,0.2,"Sinhala,English",Elderly care,All-around,Full-day,36185.0,Rejected
49,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",4.6,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,89979.0,Accepted
33,Female,Colombo,Degree,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Cooking + looking after,Full-day,84294.0,Rejected
48,Male,Colombo,Degree,Short caregiving course,2.3,"Sinhala,English",Elderly care,Looking after,Full-day,38385.0,Accepted
39,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.8,"Sinhala,English",Child care,Looking after,Half-day,56981.0,Accepted
35,Female,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English",Patient care,All-around,Full-day,35688.0,Accepted
47,Male,Matara,Secondary/Diploma,NVQ Level 3,3.7,"Sinhala,English",Elderly care,Looking after,Full-day,24778.0,Rejected
44,Male,Matara,Secondary,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,10601.0,Accepted
34,Female,Colombo,Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Full-day,60145.0,Rejected
33,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.6,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,61958.0,Accepted
30,Female,Colombo,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",0.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,43018.0,Accepted
48,Male,Colombo,Degree,Short caregiving course,2.0,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,77714.0,Accepted
34,Male,Matara,Secondary,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,4254.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Full-day,32311.0,Rejected
28,Female,Colombo,Degree,NVQ Level 3,0.6,"Sinhala,English",Elderly care,All-around,Full-day,42748.0,Rejected
42,Female,Colombo,Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Full-day,81842.0,Rejected
29,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,58831.0,Accepted
33,Female,Colombo,Diploma,NVQ Level 3,0.7,"Sinhala,English",Child care,Looking after,Half-day,23210.0,Rejected
37,Male,Kurunegala,Degree,"NVQ Level 3,Diploma in Caregiving",0.4,"Sinhala,English",Elderly care,Looking after,Half-day,17633.0,Accepted
28,Female,Matara,Secondary,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,13932.0,Accepted
28,Female,Colombo,Short Course,NVQ Level 3,0.4,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,33702.0,Accepted
46,Female,Colombo,Secondary/Diploma,NVQ Level 3,0.5,"Sinhala,English",Child care,Looking after,Half-day,90689.0,Accepted
26,Female,Colombo,Degree,NVQ Level 3,3.4,"Sinhala,English",Patient care,Looking after,Full-day,111468.0,Accepted
24,Female,Colombo,Degree,NVQ Level 3,2.4,"Sinhala,English",Elderly care,All-around,Full-day,7512.0,Accepted
38,Female,Colombo,Degree,Short caregiving course,4.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,87339.0,Accepted
42,Female,Colombo,Secondary,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Hourly,26431.0,Rejected
42,Male,Matara,Secondary,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Hourly,6589.0,Accepted
20,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,50014.0,Rejected
29,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,48028.0,Rejected
21,Female,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Half-day,60062.0,Accepted
27,Female,Colombo,Short Course,NVQ Level 3,1.2,"Sinhala,English",Elderly care,Looking after,Full-day,45868.0,Accepted
34,Female,Colombo,Short Course,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,54305.0,Accepted
28,Female,Kalutara,Diploma,NVQ Level 3,0.4,"Sinhala,English",Elderly care,All-around,Full-day,77064.0,Rejected
43,Female,Colombo,Degree,NVQ Level 3,3.7,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,103980.0,Accepted
28,Female,Colombo,Degree,NVQ Level 3,1.0,"Sinhala,English",Patient care,All-around,Full-day,112330.0,Accepted
44,Male,Colombo,Degree,NVQ Level 3,0.0,"Sinhala,English",Elderly care,All-around,Live-in,62906.0,Accepted
29,Female,Colombo,Degree,NVQ Level 3,0.2,"Sinhala,English",Elderly care,All-around,Half-day,94345.0,Accepted
40,Female,Colombo,Degree,NVQ Level 3,1.7,"Sinhala,English",Elderly care,Looking after,Half-day,46229.0,Accepted
28,Female,Ratnapura,Secondary,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,64005.0,Rejected
38,Female,Kurunegala,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",1.1,"Sinhala,English",Child care,Looking after,Half-day,80524.0,Accepted
34,Female,Colombo,Degree,NVQ Level 3,1.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,12646.0,Accepted
21,Female,Kurunegala,Diploma,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Half-day,47810.0,Rejected
37,Female,Colombo,Diploma,NVQ Level 3,3.6,"Sinhala,English",Patient care,Looking after,Full-day,87174.0,Accepted
43,Female,Colombo,Diploma/Short Course,"NVQ Level 3,NVQ Level 4",1.9,"Sinhala,English",Elderly care,Looking after,Half-day,51644.0,Accepted
30,Female,Colombo,Short Course,NVQ Level 4,0.1,"Sinhala,English",Elderly care,Looking after,Full-day,47578.0,Accepted
45,Male,Colombo,Diploma/Short Course,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Hourly,42061.0,Accepted
26,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,All-around,Full-day,59057.0,Rejected
36,Female,Colombo,Short Course,NVQ Level 3,1.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,84856.0,Accepted
43,Female,Colombo,Secondary,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Half-day,79978.0,Accepted
50,Male,Ratnapura,Secondary,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,2594.0,Accepted
37,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.8,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,95431.0,Accepted
27,Female,Kegalle,Diploma/Short Course/Degree,"NVQ Level 3,Diploma in Caregiving,Short caregiving course",0.9,"Sinhala,English",Disability care,Looking after,Half-day,22599.0,Accepted
30,Female,Matara,Secondary,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Hourly,76409.0,Rejected
33,Female,Colombo,Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Supervising,Full-day,47405.0,Accepted
25,Female,Colombo,Secondary,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,24036.0,Accepted
44,Female,Kandy,Degree,"NVQ Level 3,Diploma in Caregiving",2.9,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,42432.0,Accepted
51,Female,Colombo,Diploma/Short Course,"NVQ Level 3,Diploma in Caregiving",1.1,"Sinhala,English",Elderly care,All-around,Full-day,62465.0,Accepted
39,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",4.3,"Sinhala,English",Patient care,Looking after,Full-day,17467.0,Accepted
48,Male,Colombo,Degree,Short caregiving course,4.0,"Sinhala,English",Elderly care,Looking after,Full-day,34481.0,Accepted
36,Female,Colombo,Degree,NVQ Level 3,1.0,"Sinhala,English",Elderly care,Looking after,Full-day,42448.0,Accepted
30,Female,Colombo,Short Course,NVQ Level 3,0.0,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,48896.0,Accepted
24,Female,Kegalle,Diploma/Short Course/Degree,"NVQ Level 3,Diploma in Caregiving,Short caregiving course",0.8,"Sinhala,English",Disability care,Looking after,Half-day,23564.0,Accepted
31,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Child care,Looking after,Half-day,29806.0,Accepted
30,Female,Colombo,Short Course,NVQ Level 3,2.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,53100.0,Accepted
50,Female,Colombo,Degree,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Full-day,34186.0,Accepted
50,Female,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",0.9,"Sinhala,English",Child care,Looking after,Half-day,48795.0,Accepted
37,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.7,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,57234.0,Accepted
40,Male,Colombo,Degree,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,14723.0,Accepted
25,Female,Galle,Diploma,NVQ Level 3,2.6,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,27950.0,Accepted
40,Male,Colombo,Secondary/Diploma,"NVQ Level 3,Diploma in Caregiving",0.6,"Sinhala,English",Elderly care,Looking after,Half-day,50709.0,Accepted
46,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,48156.0,Accepted
36,Female,Colombo,Short Course,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Full-day,48613.0,Accepted
36,Female,Kurunegala,Diploma,NVQ Level 3,0.5,"Sinhala,English","Elderly care – වැඩිහිටියන් රැකවරණය, Domestic support – ගෘහ කාර්ය සහාය",Looking after,Half-day,26933.0,Rejected
26,Female,Colombo,Short Course,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Half-day,30537.0,Accepted
25,Female,Colombo,Diploma,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Full-day,51136.0,Rejected
43,Male,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",2.8,"Sinhala,English",Elderly care,Looking after,Full-day,41352.0,Accepted
55,Female,Colombo,Degree,"NVQ Level 3,First Aid Certificate",1.9,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,49539.0,Accepted
24,Female,Colombo,Short Course,Short caregiving course,3.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,33797.0,Accepted
28,Female,Colombo,Degree,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,26791.0,Accepted
32,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,39623.0,Rejected
28,Female,Colombo,Secondary/Short Course,NVQ Level 3,0.6,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,0.0,Accepted
29,Female,Colombo,Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,26067.0,Accepted
30,Female,Kurunegala,Secondary,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,89603.0,Rejected
31,Female,Colombo,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,34879.0,Accepted
34,Female,Colombo,Degree,NVQ Level 3,0.0,"Sinhala,English",Patient care,Looking after,Full-day,96642.0,Accepted
42,Male,Colombo,Degree,Short caregiving course,3.1,"Sinhala,English",Patient care,Looking after,Full-day,90667.0,Accepted
40,Female,Colombo,Degree,NVQ Level 3,0.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,49030.0,Accepted
27,Female,Colombo,Degree,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Supervising,Full-day,71591.0,Accepted
36,Male,Colombo,Degree,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Full-day,46786.0,Accepted
27,Female,Colombo,Degree,NVQ Level 3,0.9,"Sinhala,English",Elderly care,Looking after,Half-day,14249.0,Accepted
40,Female,Colombo,Degree,NVQ Level 3,1.4,"Sinhala,English",Elderly care,Looking after,Full-day,8655.0,Accepted
25,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,All-around,Full-day,21548.0,Rejected
29,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.7,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,15997.0,Accepted
24,Female,Colombo,Degree,NVQ Level 3,1.5,"Sinhala,English",Elderly care,All-around,Half-day,18315.0,Accepted
30,Female,Kurunegala,Secondary,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Hourly,34390.0,Rejected
25,Female,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,23246.0,Accepted
27,Male,Matara,Secondary/Diploma,NVQ Level 3,2.5,"Sinhala,English",Patient care,Looking after,Full-day,42723.0,Rejected
36,Female,Colombo,Degree,NVQ Level 3,1.2,"Sinhala,English",Elderly care,Looking after,Hourly,8697.0,Accepted
26,Female,Galle,Degree,NVQ Level 3,2.3,"Sinhala,English","Elderly care,Patient care",Looking after,Full-day,39059.0,Accepted
35,Male,Colombo,Diploma/Short Course,NVQ Level 3,4.1,"Sinhala,English",Elderly care,Looking after,Full-day,33704.0,Accepted
