Age,Gender,District,Education_Level,Qualification,Years_Experience,Languages_Spoken,Care_Category,Care_Service_Type,Preferred_Time,Expected_Salary,Match_Decision
40,Female,Colombo,Diploma,NVQ Level 4,0.0,"Sinhala,English",Elderly care,Looking after,Full-day,60000.0,Rejected
31,Female,Kalutara,Secondary/Diploma,NVQ Level 3,0.0,Sinhala,Elderly care,Cooking + looking after,Full-day,55000.0,Rejected
32,Male,Matara,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Live-in,45000.0,Rejected
20,Female,Kurunegala,Secondary/Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,35000.0,Rejected
46,Female,Kandy,Secondary,"NVQ Level 3,NVQ Level 4",1.0,Sinhala,Elderly care,Looking after,Full-day,40000.0,Accepted
41,Female,Colombo,Short Course,NVQ Level 4,0.0,Sinhala,Child care,Looking after,Full-day,45000.0,Rejected
20,Female,Galle,Secondary,NVQ Level 3,0.0,"Sinhala,English","Elderly care,Domestic support",All-around,Full-day,50000.0,Rejected
30,Female,Ratnapura,Diploma,NVQ Level 3,2.0,"Sinhala,English","Patient care,Palliative care",Looking after,Hourly,1500.0,Accepted
35,Male,Monaragala,Diploma,Diploma in Caregiving,3.0,"Sinhala,English",Patient care,Looking after,Full-day,0.0,Accepted
42,Male,Kegalle,Degree,NVQ Level 3,5.0,"Sinhala,English",Disability care,"Looking after,Supervising",Half-day,0.0,Accepted
41,Female,Colombo,Short Course,Short caregiving course,3.0,"Sinhala,English","Disability care,Patient care",Looking after,Full-day,55000.0,Accepted
35,Male,Kalutara,Degree,NVQ Level 3,4.0,"Sinhala,English,Tamil",Palliative care,Supervising,Hourly,0.0,Accepted
34,Male,Nuwara Eliya,Diploma,Diploma in Caregiving,5.0,"English,Tamil","Elderly care,Patient care,Palliative care",All-around,Hourly,1500.0,Accepted
37,Male,Gampaha,Diploma,Diploma in Caregiving,2.0,"Sinhala,English","Elderly care,Disability care",Looking after,Hourly,1000.0,Accepted
27,Male,Ratnapura,Short Course,Short caregiving course,0.5,"Sinhala,English",Disability care,Supervising,Half-day,35000.0,Accepted
26,Female,Gampaha,Secondary/Diploma,Diploma in Caregiving,0.5,"Sinhala,English",Child care,Looking after,Half-day,35000.0,Accepted
54,Male,Monaragala,Diploma,NVQ Level 3,6.0,Sinhala,"Elderly care,Disability care",All-around,Live-in,45000.0,Accepted
31,Male,Vavuniya,Short Course,Short caregiving course,3.0,"Sinhala,Tamil","Elderly care,Disability care,Domestic support",All-around,Live-in,40000.0,Accepted
46,Male,Gampaha,Diploma/Degree,NVQ Level 3,3.0,"Sinhala,English",Elderly care,Looking after,Half-day,50000.0,Accepted
23,Male,Jaffna,Diploma,Diploma in Caregiving,1.0,"English,Tamil",Domestic support,Unknown,Full-day,25000.0,Accepted
45,Female,Kalutara,Diploma/Degree,"First Aid Certificate,Diploma in Caregiving",3.0,"Sinhala,English","Elderly care,Disability care","Looking after,Supervising",Full-day,60000.0,Accepted
24,Male,Hambantota,Diploma,NVQ Level 4,0.0,"Sinhala,English",Domestic support,Domestic,Hourly,500.0,Rejected
55,Male,Nuwara Eliya,Secondary/Short Course,Short caregiving course,8.0,Sinhala,"Disability care,Domestic support",All-around,Live-in,45000.0,Accepted
48,Female,Vavuniya ,Diploma,"NVQ Level 4,Diploma in Caregiving",5.0,Sinhala,"Palliative care,Domestic support",Supervising,Full-day,50000.0,Accepted
34,Male,Kandy,Degree,"NVQ Level 3,Diploma in Caregiving",2.0,"Sinhala,English",Elderly care,Looking after,Half-day,35000.0,Accepted
39,Male,Kalutara,Secondary/Diploma,NVQ Level 3,3.0,"Sinhala,English",Disability care,Looking after,Live-in,45000.0,Accepted
34,Female,Batticaloa,Diploma,"First Aid Certificate,Diploma in Caregiving",2.0,Sinhala,Child care,Looking after,Half-day,40000.0,Accepted
25,Male,Kegalle,Diploma,"First Aid Certificate,Short caregiving course",0.0,"Sinhala,English","Patient care,Palliative care",Supervising,Hourly,0.0,Rejected
22,Male,Kalutara,Secondary/Diploma/Short Course,"NVQ Level 3,Short caregiving course",0.0,"Sinhala,English",Elderly care,Looking after,Half-day,0.0,Rejected
34,Male,Kalutara,Diploma,NVQ Level 3,1.0,"Sinhala,English",Elderly care,Looking after,Half-day,22063.0,Accepted
32,Male,Colombo,Degree,NVQ Level 3,2.6,"Sinhala,English",Elderly care,Looking after,Half-day,39649.0,Accepted
25,Male,Kalutara,Diploma,NVQ Level 3,0.8,"Sinhala,English",Disability care,Looking after,Half-day,6632.0,Accepted
30,Female,Colombo,Degree,NVQ Level 3,1.1,"Sinhala,English",Child care,Looking after,Half-day,31004.0,Accepted
31,Female,Colombo,Short Course,"NVQ Level 3,Diploma in Caregiving",2.9,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,69261.0,Accepted
34,Male,Gampaha,Diploma,"NVQ Level 3,Diploma in Caregiving",4.8,"Sinhala,English",Elderly care,Looking after,Half-day,23115.0,Accepted
34,Female,Gampaha,Degree,"NVQ Level 3,First Aid Certificate,Diploma in Caregiving",1.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,29087.0,Accepted
32,Male,Colombo,Secondary,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Half-day,20880.0,Accepted
29,Male,Kurunegala,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,6641.0,Rejected
39,Female,Colombo,Short Course,NVQ Level 3,0.8,Sinhala,"Elderly care,Patient care",Looking after,Half-day,71471.0,Accepted
40,Male,Gampaha,Short Course,Diploma in Caregiving,2.8,"Sinhala,English",Disability care,Supervising,Half-day,0.0,Accepted
40,Female,Colombo,Degree,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,3871.0,Accepted
42,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",1.5,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,100684.0,Accepted
28,Male,Ratnapura,Diploma,NVQ Level 3,0.7,"Sinhala,English",Patient care,Looking after,Half-day,15955.0,Accepted
29,Male,Kalutara,Diploma,NVQ Level 3,0.0,"Sinhala,English",Child care,Looking after,Half-day,16546.0,Rejected
45,Male,Kurunegala,Diploma,NVQ Level 3,3.4,"Sinhala,English",Elderly care,All-around,Hourly,48721.0,Accepted
36,Male,Kegalle,Diploma,NVQ Level 3,4.0,"Sinhala,English",Disability care,Supervising,Full-day,11736.0,Accepted
28,Male,Colombo,Diploma,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Hourly,14137.0,Accepted
34,Female,Colombo,Diploma,NVQ Level 3,1.2,"Sinhala,English",Patient care,All-around,Full-day,82753.0,Rejected
24,Male,Kegalle,Diploma,Diploma in Caregiving,0.4,"Sinhala,English",Disability care,Looking after,Half-day,35326.0,Accepted
27,Female,Kalutara,Diploma,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,82005.0,Rejected
39,Female,Kalutara,Degree,NVQ Level 3,0.6,"Sinhala,English",Child care,Looking after,Half-day,20217.0,Accepted
31,Male,Ratnapura,Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,40934.0,Rejected
45,Female,Colombo,Degree,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Full-day,3044.0,Accepted
22,Male,Colombo,Secondary,NVQ Level 3,1.9,"Sinhala,English",Elderly care,Looking after,Half-day,32568.0,Accepted
44,Female,Colombo,Degree,"First Aid Certificate,Diploma in Caregiving",2.3,"Sinhala,English",Disability care,Looking after,Half-day,106894.0,Accepted
50,Male,Vavuniya,Diploma,Short caregiving course,4.8,Sinhala,Disability care,All-around,Live-in,67994.0,Accepted
29,Male,Gampaha,Short Course,Diploma in Caregiving,2.9,"Sinhala,English",Disability care,Looking after,Half-day,13261.0,Accepted
38,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",3.2,"Sinhala,English","Elderly care,Disability care,Patient care",Looking after,Full-day,46779.0,Accepted
20,Female,Kalutara,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,18060.0,Rejected
49,Male,Colombo,Diploma,Short caregiving course,4.8,"Sinhala,English",Patient care,Looking after,Full-day,40802.0,Accepted
30,Male,Colombo,Secondary,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Live-in,46865.0,Accepted
35,Male,Galle,Diploma,NVQ Level 3,4.0,"Sinhala,English",Elderly care,All-around,Full-day,28195.0,Accepted
28,Male,Gampaha,Diploma,NVQ Level 3,5.4,"Sinhala,English",Disability care,Looking after,Hourly,11490.0,Accepted
30,Female,Colombo,Diploma,NVQ Level 3,0.7,"Sinhala,English",Child care,Looking after,Full-day,15264.0,Accepted
39,Male,Kalutara,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,All-around,Live-in,36022.0,Accepted
28,Female,Colombo,Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,79307.0,Accepted
24,Female,Colombo,Degree,NVQ Level 3,0.3,"Sinhala,English",Child care,Looking after,Half-day,8425.0,Rejected
29,Female,Gampaha,Diploma,"NVQ Level 4,Diploma in Caregiving",1.7,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,3064.0,Accepted
27,Male,Kurunegala,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Hourly,38716.0,Rejected
30,Male,Kandy,Degree,"NVQ Level 3,Diploma in Caregiving",2.9,"Sinhala,English",Patient care,Looking after,Half-day,80902.0,Accepted
30,Female,Gampaha,Short Course,NVQ Level 3,3.0,"Sinhala,English","Elderly care,Patient care",Supervising,Half-day,42571.0,Accepted
30,Male,Ratnapura,Diploma,NVQ Level 3,0.0,"Sinhala,English","Patient care,Palliative care",Supervising,Hourly,56874.0,Rejected
47,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.4,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,39848.0,Accepted
46,Female,Colombo,Degree,NVQ Level 3,1.6,Sinhala,Child care,Looking after,Half-day,52835.0,Accepted
30,Male,Colombo,Diploma,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Hourly,4952.0,Rejected
27,Male,Gampaha,Diploma,NVQ Level 3,2.6,"Sinhala,English",Elderly care,Looking after,Hourly,941.0,Accepted
27,Male,Gampaha,Diploma,NVQ Level 3,0.5,"Sinhala,English",Disability care,Looking after,Half-day,33172.0,Accepted
41,Female,Colombo,Short Course,NVQ Level 3,3.2,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,66148.0,Accepted
46,Male,Gampaha,Diploma,NVQ Level 3,3.3,"Sinhala,English",Elderly care,Looking after,Live-in,63733.0,Accepted
37,Female,Kalutara,Secondary/Diploma,NVQ Level 3,2.4,"Sinhala,English",Child care,Looking after,Half-day,31613.0,Accepted
26,Male,Ratnapura,Diploma,NVQ Level 3,2.8,"Sinhala,English",Patient care,Looking after,Half-day,54328.0,Accepted
26,Female,Colombo,Diploma,NVQ Level 3,0.2,"Sinhala,English",Elderly care,Looking after,Half-day,24930.0,Accepted
37,Male,Galle,Diploma,NVQ Level 3,1.8,"Sinhala,English",Elderly care,All-around,Full-day,57205.0,Accepted
30,Male,Colombo,Diploma,NVQ Level 3,3.5,"Sinhala,English",Elderly care,Looking after,Half-day,55841.0,Accepted
29,Female,Colombo,Degree,NVQ Level 3,3.0,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,29563.0,Accepted
42,Female,Kegalle,Diploma,NVQ Level 3,3.3,"Sinhala,English",Disability care,Supervising,Half-day,6723.0,Accepted
33,Male,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English",Elderly care,Looking after,Full-day,19027.0,Rejected
50,Male,Kurunegala,Diploma,NVQ Level 3,3.8,"Sinhala,English",Elderly care,Looking after,Live-in,0.0,Accepted
49,Female,Ratnapura,Degree,"NVQ Level 3,Diploma in Caregiving",4.3,"Sinhala,English",Patient care,Looking after,Half-day,84976.0,Accepted
38,Female,Colombo,Short Course,NVQ Level 3,0.3,"Sinhala,English",Elderly care,All-around,Half-day,44282.0,Accepted
49,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.1,"Sinhala,English",Patient care,Looking after,Full-day,88386.0,Accepted
42,Male,Gampaha,Degree,NVQ Level 3,2.4,"Sinhala,English",Disability care,Looking after,Half-day,31654.0,Accepted
36,Male,Vavuniya,Diploma,Short caregiving course,3.4,"Sinhala,English",Patient care,Looking after,Live-in,69659.0,Accepted
44,Female,Gampaha,Short Course,NVQ Level 3,2.8,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,50709.0,Accepted
27,Male,Colombo,Secondary/Diploma,NVQ Level 3,2.5,"Sinhala,English",Elderly care,Looking after,Half-day,60129.0,Accepted
43,Female,Gampaha,Short Course,NVQ Level 3,1.6,"Sinhala,English",Disability care,Looking after,Half-day,34491.0,Accepted
29,Male,Gampaha,Degree,"NVQ Level 3,Diploma in Caregiving",0.6,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,21058.0,Accepted
27,Male,Colombo,Short Course,NVQ Level 3,2.9,"Sinhala,English",Elderly care,Looking after,Half-day,56771.0,Accepted
42,Male,Colombo,Diploma,NVQ Level 3,1.8,"Sinhala,English",Elderly care,Looking after,Live-in,27672.0,Accepted
53,Male,Monaragala,Diploma,NVQ Level 3,3.7,"Sinhala,English",Disability care,Looking after,Full-day,18650.0,Accepted
24,Male,Kalutara,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Half-day,9995.0,Accepted
43,Male,Ratnapura,Diploma,NVQ Level 3,3.7,"Sinhala,English",Disability care,Looking after,Half-day,48269.0,Accepted
44,Male,Gampaha,Diploma,NVQ Level 3,2.1,"Sinhala,English",Elderly care,Looking after,Half-day,83908.0,Accepted
31,Male,Kurunegala,Diploma,NVQ Level 3,0.1,"Sinhala,English",Patient care,Supervising,Hourly,39188.0,Rejected
37,Male,Monaragala,Secondary/Short Course,NVQ Level 3,4.2,"Sinhala,English",Elderly care,Looking after,Live-in,16325.0,Accepted
23,Male,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,66164.0,Rejected
39,Male,Colombo,Degree,Short caregiving course,4.1,"Sinhala,English",Elderly care,Looking after,Half-day,0.0,Accepted
35,Female,Colombo,Degree,NVQ Level 3,0.5,"Sinhala,English",Patient care,All-around,Full-day,54684.0,Accepted
47,Female,Colombo,Diploma,NVQ Level 3,0.7,"Sinhala,English",Patient care,All-around,Full-day,81714.0,Rejected
27,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",5.3,"Sinhala,English",Patient care,Looking after,Half-day,51235.0,Accepted
30,Male,Kalutara,Diploma,NVQ Level 3,0.4,"Sinhala,English",Elderly care,Looking after,Full-day,3734.0,Accepted
32,Male,Gampaha,Diploma,NVQ Level 3,4.1,"Sinhala,English",Disability care,Looking after,Half-day,65159.0,Accepted
35,Male,Colombo,Secondary/Short Course,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,52008.0,Accepted
44,Female,Kalutara,Diploma,NVQ Level 3,0.7,"Sinhala,English",Elderly care,Looking after,Half-day,40246.0,Accepted
41,Male,Kalutara,Diploma,NVQ Level 3,3.5,"Sinhala,English",Elderly care,Looking after,Full-day,5315.0,Accepted
31,Female,Colombo,Short Course,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,68401.0,Accepted
26,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.8,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,12900.0,Accepted
23,Female,Colombo,Short Course,NVQ Level 3,1.7,"Sinhala,English",Elderly care,Looking after,Half-day,48697.0,Accepted
36,Male,Galle,Diploma,NVQ Level 3,2.7,"Sinhala,English",Elderly care,All-around,Full-day,13287.0,Accepted
40,Female,Gampaha,Diploma,"NVQ Level 3,Diploma in Caregiving",0.1,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,18390.0,Accepted
54,Male,Ratnapura,Diploma/Degree,Short caregiving course,8.0,"Sinhala,English","Elderly care,Disability care",Looking after,Full-day,53800.0,Accepted
30,Male,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English",Elderly care,Looking after,Hourly,26052.0,Rejected
40,Male,Colombo,Diploma/Degree,NVQ Level 3,4.8,"Sinhala,English",Elderly care,Looking after,Live-in,26872.0,Accepted
30,Female,Kalutara,Diploma,NVQ Level 3,1.2,"Sinhala,English",Child care,Looking after,Half-day,45892.0,Accepted
56,Female,Colombo,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Full-day,45344.0,Rejected
32,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",1.5,"Sinhala,English",Elderly care,Looking after,Full-day,50697.0,Accepted
43,Female,Colombo,Degree,NVQ Level 4,0.0,"Sinhala,English",Child care,Looking after,Full-day,13238.0,Accepted
37,Female,Colombo,Diploma,NVQ Level 3,0.0,Sinhala,Elderly care,All-around,Full-day,40128.0,Rejected
44,Male,Kalutara,Secondary/Diploma,NVQ Level 3,1.9,"Sinhala,English",Disability care,Looking after,Half-day,28150.0,Accepted
40,Female,Colombo,Secondary/Short Course,NVQ Level 3,0.5,Sinhala,Elderly care,All-around,Half-day,31505.0,Rejected
32,Female,Colombo,Diploma,NVQ Level 3,0.8,"Sinhala,English",Elderly care,Looking after,Full-day,23032.0,Rejected
34,Male,Kalutara,Diploma,NVQ Level 3,2.1,"Sinhala,English",Patient care,Supervising,Hourly,0.0,Accepted
39,Male,Colombo,Diploma,"NVQ Level 3,Diploma in Caregiving",0.6,"Sinhala,English",Elderly care,Looking after,Half-day,33151.0,Accepted
37,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Child care,Looking after,Half-day,50846.0,Rejected
27,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,38028.0,Rejected
28,Female,Colombo,Short Course,NVQ Level 3,0.3,"Sinhala,English",Elderly care,Looking after,Half-day,71058.0,Accepted
37,Female,Gampaha,Short Course,"NVQ Level 4,Diploma in Caregiving",3.8,"Sinhala,English","Elderly care,Patient care",Looking after,Half-day,71909.0,Accepted
36,Female,Colombo,Short Course,NVQ Level 3,0.8,"Sinhala,English",Elderly care,All-around,Half-day,32506.0,Accepted
46,Male,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English",Elderly care,Looking after,Full-day,43670.0,Accepted
51,Female,Gampaha,Degree,"NVQ Level 3,First Aid Certificate,Diploma in Caregiving",0.9,"Sinhala,English",Child care,Looking after,Half-day,40580.0,Accepted
30,Male,Kegalle,Diploma,NVQ Level 3,1.1,"Sinhala,English",Domestic support,Supervising,Hourly,11867.0,Accepted
33,Male,Gampaha,Diploma/Degree,Short caregiving course,1.4,"Sinhala,English",Disability care,Looking after,Full-day,24769.0,Accepted
41,Female,Colombo,Degree,"NVQ Level 3,Diploma in Caregiving",0.7,"Sinhala,English",Child care,Looking after,Half-day,31796.0,Accepted
26,Male,Kalutara,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Hourly,38499.0,Rejected
33,Male,Colombo,Secondary,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,22683.0,Rejected
43,Female,Colombo,Diploma,NVQ Level 3,0.1,"Sinhala,English",Elderly care,Looking after,Full-day,24207.0,Rejected
34,Female,Colombo,Diploma,NVQ Level 3,1.1,"Sinhala,English",Elderly care,Looking after,Half-day,58880.0,Rejected
44,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Patient care,All-around,Full-day,24661.0,Rejected
25,Male,Kurunegala,Degree,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Hourly,21614.0,Accepted
28,Female,Colombo,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,45950.0,Rejected
24,Male,Colombo,Diploma,NVQ Level 3,2.4,"Sinhala,English",Patient care,Looking after,Full-day,49802.0,Accepted
41,Male,Kurunegala,Secondary/Diploma,NVQ Level 3,6.2,"Sinhala,English",Patient care,Looking after,Half-day,44030.0,Accepted
53,Male,Kalutara,Secondary/Diploma,NVQ Level 3,7.8,"Sinhala,English","Elderly care,Disability care",Looking after,Live-in,23597.0,Accepted
41,Female,Colombo,Secondary/Short Course,NVQ Level 3,0.2,Sinhala,Elderly care,All-around,Full-day,35723.0,Rejected
58,Male,Colombo,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Full-day,9746.0,Accepted
26,Female,Colombo,Short Course,NVQ Level 3,0.6,"Sinhala,English",Elderly care,Looking after,Half-day,39712.0,Accepted
31,Female,Kalutara,Diploma,NVQ Level 3,0.5,"Sinhala,English",Elderly care,Looking after,Half-day,45295.0,Accepted
28,Female,Colombo,Diploma,NVQ Level 3,0.2,"Sinhala,English",Patient care,All-around,Full-day,45373.0,Rejected
42,Male,Kurunegala,Degree,NVQ Level 3,4.5,"Sinhala,English",Elderly care,Looking after,Hourly,23541.0,Accepted
39,Female,Ratnapura,Degree,"NVQ Level 4,First Aid Certificate,Short caregiving course",3.8,"Sinhala,English",Patient care,Looking after,Full-day,85600.0,Accepted
42,Female,Ratnapura,Degree,"NVQ Level 3,Diploma in Caregiving",3.2,"Sinhala,English",Patient care,Looking after,Half-day,45614.0,Accepted
28,Male,Kalutara,Diploma,NVQ Level 3,0.0,"Sinhala,English",Elderly care,Looking after,Half-day,61518.0,Accepted
